0.109264,-0.0130767
0.106567,-0.00814246
0.126767,-0.00295502
0.114099,0.00186854
0.126416,0.00723692
0.128627,0.0124259
0.13754,0.0179794
0.141796,0.0234287
0.136639,0.0283399
0.15308,0.0347739
0.141731,0.0391914
0.139392,0.0442459
0.138465,0.04941
0.12634,0.053339
0.126448,0.0585132
0.127286,0.0637931
0.123982,0.0685347
0.112662,0.0720661
0.112667,0.0771539
0.113345,0.0823651
0.103799,0.0858439
0.104204,0.0909681
0.0972534,0.0947171
0.108406,0.101963
0.09483,0.104278
0.0888743,0.108022
0.0872204,0.11265
0.0838411,0.11686
0.0723001,0.119029
0.0746706,0.124543
0.0705621,0.128414
0.0764335,0.134957
0.0675647,0.13747
0.059227,0.139996
0.0537539,0.143251
0.0526675,0.147793
0.0451028,0.150263
0.0424404,0.154233
0.0419375,0.158914
0.0431951,0.164229
0.0375077,0.167102
0.0335562,0.170535
0.0366155,0.176581
0.0289493,0.178543
0.0312991,0.184386
0.026752,0.187486
0.0124078,0.186414
0.0149316,0.19234
0.0105839,0.195327
0.00748569,0.198825
0.00599381,0.203038
0.000881103,0.205548
0.00255704,0.211269
0.0047287,0.217313
-0.00677592,0.216542
-0.0153251,0.217088
-0.00582716,0.226999
-0.019865,0.224502
-0.0165885,0.231249
-0.0139101,0.237783
-0.0220518,0.238234
-0.0209206,0.243963
-0.0268768,0.245548
-0.0229066,0.253078
-0.032282,0.252486
-0.0302786,0.258914
-0.0398819,0.25797
-0.0391578,0.26363
-0.0478331,0.263076
-0.0400389,0.273597
-0.0486392,0.272987
-0.0456288,0.280439
-0.0526168,0.280826
-0.0532063,0.285795
-0.0674801,0.280581
-0.0663428,0.286787
-0.0664359,0.292142
-0.0690672,0.295564
-0.0751703,0.296196
-0.0682006,0.30743
-0.0831844,0.300655
-0.0783816,0.3103
-0.0842741,0.31094
-0.0859059,0.31523
-0.101055,0.307468
-0.0974832,0.316357
-0.100234,0.319595
-0.100381,0.325292
-0.0987979,0.332741
-0.107395,0.330405
-0.105077,0.338721
0.106402,-0.0179854
0.0984802,-0.0227346
0.101431,-0.0276798
0.108007,-0.0328219
0.0893071,-0.0368667
0.0788745,-0.0410581
0.0743887,-0.0454615
0.0742926,-0.0501182
0.0668638,-0.0541691
0.0726284,-0.0593099
0.0638103,-0.0630895
0.0754331,-0.0689633
0.0565639,-0.0714376
0.0503765,-0.0752025
0.0519885,-0.0799304
0.0609696,-0.0857678
0.0467831,-0.0882064
0.0449595,-0.0924195
0.0382141,-0.0957658
0.0403471,-0.100612
0.0235576,-0.101913
0.0329902,-0.108148
0.0226507,-0.110451
0.0206041,-0.114385
0.0199763,-0.118619
0.0176139,-0.12245
0.00781891,-0.124435
0.00420332,-0.127828
0.00399402,-0.13207
0.00952849,-0.137897
0.00301137,-0.140445
-0.0053598,-0.14235
-0.000783416,-0.148021
-0.00149912,-0.152156
0.000705955,-0.157237
-0.0104777,-0.157964
-0.0177184,-0.15984
-0.0313683,-0.159359
-0.0160508,-0.169051
-0.022085,-0.171184
-0.0255131,-0.174214
-0.0422393,-0.172024
-0.028852,-0.181559
-0.0396272,-0.181495
-0.0376758,-0.186587
-0.0427574,-0.188724
-0.0303673,-0.198487
-0.0504252,-0.193904
-0.0486792,-0.199001
-0.0496673,-0.202877
-0.0472224,-0.208427
-0.0600041,-0.206546
-0.0602378,-0.210759
-0.0647894,-0.212778
-0.0639681,-0.217567
-0.0668916,-0.220399
-0.0630948,-0.2269
-0.0777083,-0.223202
-0.0810338,-0.225674
-0.0702126,-0.236376
-0.067838,-0.242345
-0.0774832,-0.241111
-0.092798,-0.23618
-0.0866656,-0.244482
-0.0858814,-0.249538
-0.086823,-0.253532
-0.0908017,-0.255522
-0.0900835,-0.260669
-0.0982803,-0.259695
-0.101655,-0.261979
-0.0945197,-0.271813
-0.0989628,-0.273391
-0.103552,-0.274802
-0.0936256,-0.287209
-0.0916661,-0.293777
-0.0968623,-0.294818
-0.0952618,-0.301247
-0.0966561,-0.305343
-0.0987918,-0.308856
-0.0956017,-0.316901
-0.102803,-0.31615
-0.0902483,-0.332622
-0.0995805,-0.329994
-0.0999579,-0.335312
-0.0965245,-0.344239
-0.0962455,-0.350398
-0.0951159,-0.35748
-0.0963499,-0.362395
